time,station,cur_spd,cur_spd_qc,cur_dir,cur_dir_qc,war_temp,war_temp_qc,salt,salt_qc
2014-11-19 13:00:00,인천항,30.3,B,64.5,B,,,,
2014-11-19 14:00:00,인천항,11.5,B,83.9,B,,,,
2014-11-19 15:00:00,인천항,4.0,B,252.0,B,,,,
2014-11-19 16:00:00,인천항,29.3,B,224.5,B,,,,
2014-11-19 17:00:00,인천항,39.7,B,229.4,B,,,,
2014-11-19 18:00:00,인천항,33.1,B,268.6,B,,,,
2014-11-19 19:00:00,인천항,34.2,B,275.4,B,,,,
2014-11-19 20:00:00,인천항,43.0,B,247.0,B,,,,
2014-11-19 21:00:00,인천항,12.4,B,196.3,B,,,,
2014-11-19 22:00:00,인천항,24.6,B,77.4,B,,,,
2014-11-19 23:00:00,인천항,42.8,B,66.4,B,,,,
2014-11-20 00:00:00,인천항,50.0,B,65.4,B,,,,
2014-11-20 01:00:00,인천항,40.1,B,68.1,B,,,,
2014-11-20 02:00:00,인천항,23.1,B,68.3,B,,,,
2014-11-20 03:00:00,인천항,7.2,B,197.3,B,,,,
2014-11-20 04:00:00,인천항,21.9,B,210.4,B,,,,
2014-11-20 05:00:00,인천항,44.1,B,225.9,B,,,,
2014-11-20 06:00:00,인천항,31.7,B,278.1,B,,,,
2014-11-20 07:00:00,인천항,40.8,B,272.2,B,,,,
2014-11-20 08:00:00,인천항,32.7,B,282.7,B,,,,
2014-11-20 09:00:00,인천항,24.1,B,251.3,B,,,,
2014-11-20 10:00:00,인천항,17.0,B,80.7,B,,,,
2014-11-20 11:00:00,인천항,43.9,B,71.2,B,,,,
2014-11-20 12:00:00,인천항,45.2,B,49.8,B,,,,
2014-11-20 13:00:00,인천항,48.7,B,58.2,B,,,,
2014-11-20 14:00:00,인천항,25.3,B,51.8,B,,,,
2014-11-20 15:00:00,인천항,6.7,B,103.0,B,,,,
2014-11-20 16:00:00,인천항,13.6,B,168.4,B,,,,
2014-11-20 17:00:00,인천항,34.4,B,213.1,B,,,,
2014-11-20 18:00:00,인천항,54.1,B,229.9,B,,,,
2014-11-20 19:00:00,인천항,33.2,B,278.1,B,,,,
2014-11-20 20:00:00,인천항,50.1,B,238.0,B,,,,
2014-11-20 21:00:00,인천항,40.3,B,234.5,B,,,,
2014-11-20 22:00:00,인천항,8.9,B,211.6,B,,,,
2014-11-20 23:00:00,인천항,26.5,B,72.8,B,,,,
2014-11-21 00:00:00,인천항,50.8,B,61.6,B,,,,
2014-11-21 01:00:00,인천항,47.4,B,53.4,B,,,,
2014-11-21 02:00:00,인천항,36.4,B,54.0,B,,,,
2014-11-21 03:00:00,인천항,17.6,B,62.0,B,,,,
2014-11-21 04:00:00,인천항,12.3,B,193.4,B,,,,
2014-11-21 05:00:00,인천항,34.1,B,220.7,B,,,,
2014-11-21 06:00:00,인천항,50.6,B,239.1,B,,,,
2014-11-21 07:00:00,인천항,33.7,B,277.5,B,,,,
2014-11-21 08:00:00,인천항,50.9,B,256.2,B,,,,
2014-11-21 09:00:00,인천항,44.2,B,245.7,B,,,,
2014-11-21 10:00:00,인천항,19.6,B,237.1,B,,,,
2014-11-21 11:00:00,인천항,37.2,B,89.0,B,,,,
2014-11-21 12:00:00,인천항,41.2,B,103.5,B,,,,
2014-11-21 13:00:00,인천항,46.4,B,107.8,B,,,,
2014-11-21 14:00:00,인천항,46.0,B,66.2,B,,,,
2014-11-21 15:00:00,인천항,33.3,B,63.1,B,,,,
2014-11-21 16:00:00,인천항,6.6,B,160.8,B,,,,
2014-11-21 17:00:00,인천항,27.8,B,200.9,B,,,,
2014-11-21 18:00:00,인천항,49.8,B,226.6,B,,,,
2014-11-21 19:00:00,인천항,34.0,B,267.2,B,,,,
2014-11-21 20:00:00,인천항,40.1,B,255.6,B,,,,
2014-11-21 21:00:00,인천항,43.2,B,247.5,B,,,,
2014-11-21 22:00:00,인천항,37.6,B,246.2,B,,,,
2014-11-21 23:00:00,인천항,6.3,B,236.1,B,,,,
2014-11-22 00:00:00,인천항,46.0,B,69.4,B,,,,
2014-11-22 01:00:00,인천항,56.4,B,56.3,B,,,,
2014-11-22 02:00:00,인천항,50.0,B,50.7,B,,,,
2014-11-22 03:00:00,인천항,26.8,B,68.2,B,,,,
2014-11-22 04:00:00,인천항,0.8,B,248.2,B,,,,
2014-11-22 05:00:00,인천항,22.2,B,231.9,B,,,,
2014-11-22 06:00:00,인천항,45.4,B,215.9,B,,,,
2014-11-22 07:00:00,인천항,33.2,B,273.2,B,,,,
2014-11-22 08:00:00,인천항,57.8,B,251.1,B,,,,
2014-11-22 09:00:00,인천항,41.9,B,265.9,B,,,,
2014-11-22 10:00:00,인천항,35.4,B,250.9,B,,,,
2014-11-22 11:00:00,인천항,9.2,B,118.7,B,,,,
2014-11-22 12:00:00,인천항,51.9,B,67.2,B,,,,
2014-11-22 13:00:00,인천항,47.1,B,31.3,B,,,,
2014-11-22 14:00:00,인천항,51.3,B,39.6,B,,,,
2014-11-22 15:00:00,인천항,30.8,B,42.8,B,,,,
2014-11-22 16:00:00,인천항,12.8,B,101.7,B,,,,
2014-11-22 17:00:00,인천항,20.0,B,148.9,B,,,,
2014-11-22 18:00:00,인천항,36.7,B,235.6,B,,,,
2014-11-22 19:00:00,인천항,57.5,B,248.2,B,,,,
2014-11-22 20:00:00,인천항,44.7,B,220.5,B,,,,
2014-11-22 21:00:00,인천항,39.2,B,226.2,B,,,,
2014-11-22 22:00:00,인천항,39.5,B,260.7,B,,,,
2014-11-22 23:00:00,인천항,33.8,B,271.1,B,,,,
2014-11-23 00:00:00,인천항,23.0,B,88.9,B,,,,
2014-11-23 01:00:00,인천항,42.7,B,40.2,B,,,,
2014-11-23 02:00:00,인천항,50.8,B,52.1,B,,,,
2014-11-23 03:00:00,인천항,41.0,B,57.9,B,,,,
2014-11-23 04:00:00,인천항,27.4,B,51.6,B,,,,
2014-11-23 05:00:00,인천항,9.8,B,219.7,B,,,,
2014-11-23 06:00:00,인천항,25.7,B,227.6,B,,,,
2014-11-23 08:00:00,인천항,51.5,B,238.0,B,,,,
2014-11-23 09:00:00,인천항,52.7,B,233.2,B,,,,
2014-11-23 10:00:00,인천항,46.4,B,237.5,B,,,,
2014-11-23 11:00:00,인천항,31.1,B,268.1,B,,,,
2014-11-23 12:00:00,인천항,24.0,B,69.0,B,,,,
2014-11-23 13:00:00,인천항,35.6,B,24.4,B,,,,
2014-11-23 14:00:00,인천항,42.4,B,38.9,B,,,,
2014-11-23 15:00:00,인천항,52.9,B,67.2,B,,,,
2014-11-23 16:00:00,인천항,36.5,B,63.3,B,,,,
2014-11-23 17:00:00,인천항,32.4,B,105.4,B,,,,
2014-11-23 18:00:00,인천항,21.7,B,177.3,B,,,,
2014-11-23 19:00:00,인천항,46.8,B,231.9,B,,,,
2014-11-23 20:00:00,인천항,56.2,B,243.3,B,,,,
2014-11-23 21:00:00,인천항,40.2,B,219.6,B,,,,
2014-11-23 22:00:00,인천항,38.3,B,227.3,B,,,,
2014-11-23 23:00:00,인천항,31.9,B,229.8,B,,,,
2014-11-24 00:00:00,인천항,15.0,B,268.6,B,,,,
2014-11-24 01:00:00,인천항,41.5,B,82.0,B,,,,
2014-11-24 02:00:00,인천항,41.6,B,104.1,B,,,,
2014-11-24 03:00:00,인천항,42.1,B,102.6,B,,,,
2014-11-24 04:00:00,인천항,43.6,B,75.5,B,,,,
2014-11-24 05:00:00,인천항,21.8,B,45.7,B,,,,
2014-11-24 06:00:00,인천항,15.2,B,213.9,B,,,,
2014-11-24 07:00:00,인천항,42.9,B,253.9,B,,,,
2014-11-24 08:00:00,인천항,42.4,B,222.2,B,,,,
2014-11-24 09:00:00,인천항,38.8,B,223.0,B,,,,
2014-11-24 10:00:00,인천항,49.1,B,249.5,B,,,,
2014-11-24 11:00:00,인천항,35.7,B,239.9,B,,,,
2014-11-24 12:00:00,인천항,10.2,B,247.5,B,,,,
2014-11-24 13:00:00,인천항,44.7,B,79.9,B,,,,
2014-11-24 14:00:00,인천항,53.3,B,43.0,B,,,,
2014-11-24 15:00:00,인천항,38.9,B,24.8,B,,,,
2014-11-24 16:00:00,인천항,47.6,B,66.0,B,,,,
2014-11-24 17:00:00,인천항,19.0,B,99.8,B,,,,
2014-11-24 18:00:00,인천항,22.7,B,130.6,B,,,,
2014-11-24 19:00:00,인천항,28.3,B,218.8,B,,,,
2014-11-24 20:00:00,인천항,55.5,B,244.0,B,,,,
2014-11-24 21:00:00,인천항,40.3,B,214.1,B,,,,
2014-11-24 22:00:00,인천항,56.1,B,251.8,B,,,,
2014-11-24 23:00:00,인천항,38.2,B,235.8,B,,,,
2014-11-25 00:00:00,인천항,44.3,B,258.2,B,,,,
2014-11-25 01:00:00,인천항,9.1,B,154.8,B,,,,
2014-11-25 02:00:00,인천항,53.1,B,76.9,B,,,,
2014-11-25 03:00:00,인천항,44.2,B,32.9,B,,,,
2014-11-25 04:00:00,인천항,55.1,B,60.8,B,,,,
2014-11-25 05:00:00,인천항,32.0,B,69.4,B,,,,
2014-11-25 06:00:00,인천항,7.0,B,38.7,B,,,,
2014-11-25 07:00:00,인천항,25.1,B,253.7,B,,,,
2014-11-25 08:00:00,인천항,52.1,B,244.4,B,,,,
2014-11-25 09:00:00,인천항,50.4,B,233.9,B,,,,
2014-11-25 10:00:00,인천항,52.0,B,234.5,B,,,,
2014-11-25 11:00:00,인천항,49.2,B,246.8,B,,,,
2014-11-25 12:00:00,인천항,29.4,B,230.4,B,,,,
2014-11-25 13:00:00,인천항,6.0,B,59.3,B,,,,
2014-11-25 14:00:00,인천항,35.8,B,109.9,B,,,,
2014-11-25 15:00:00,인천항,70.4,B,82.9,B,,,,
2014-11-25 16:00:00,인천항,52.8,B,68.5,B,,,,
2014-11-25 17:00:00,인천항,37.5,B,52.8,B,,,,
2014-11-25 18:00:00,인천항,19.6,B,115.8,B,,,,
2014-11-25 19:00:00,인천항,19.4,B,159.6,B,,,,
2014-11-25 20:00:00,인천항,42.3,B,205.1,B,,,,
2014-11-25 21:00:00,인천항,36.6,B,271.9,B,,,,
2014-11-25 22:00:00,인천항,43.8,B,268.3,B,,,,
2014-11-25 23:00:00,인천항,34.4,B,278.3,B,,,,
2014-11-26 00:00:00,인천항,29.7,B,280.6,B,,,,
2014-11-26 01:00:00,인천항,37.7,B,252.3,B,,,,
2014-11-26 02:00:00,인천항,22.9,B,76.4,B,,,,
2014-11-26 03:00:00,인천항,41.2,B,106.9,B,,,,
2014-11-26 04:00:00,인천항,38.2,B,99.0,B,,,,
2014-11-26 05:00:00,인천항,44.9,B,66.2,B,,,,
2014-11-26 06:00:00,인천항,18.8,B,52.9,B,,,,
2014-11-26 07:00:00,인천항,3.7,B,350.7,B,,,,
2014-11-26 08:00:00,인천항,33.2,B,260.8,B,,,,
2014-11-26 09:00:00,인천항,58.3,B,241.6,B,,,,
2014-11-26 10:00:00,인천항,47.0,B,233.7,B,,,,
2014-11-26 11:00:00,인천항,47.2,B,238.7,B,,,,
2014-11-26 12:00:00,인천항,40.1,B,244.7,B,,,,
2014-11-26 13:00:00,인천항,24.7,B,253.9,B,,,,
2014-11-26 14:00:00,인천항,29.7,B,80.2,B,,,,
2014-11-26 15:00:00,인천항,43.7,B,108.2,B,,,,
2014-11-26 16:00:00,인천항,54.6,B,98.1,B,,,,
2014-11-26 17:00:00,인천항,44.6,B,69.6,B,,,,
2014-11-26 18:00:00,인천항,28.0,B,54.3,B,,,,
2014-11-26 19:00:00,인천항,8.0,B,212.1,B,,,,
2014-11-26 20:00:00,인천항,30.0,B,214.0,B,,,,
2014-11-26 21:00:00,인천항,46.2,B,214.5,B,,,,
2014-11-26 22:00:00,인천항,35.9,B,265.6,B,,,,
2014-11-26 23:00:00,인천항,35.1,B,273.4,B,,,,
2014-11-27 00:00:00,인천항,36.7,B,276.3,B,,,,
2014-11-27 01:00:00,인천항,43.0,B,248.0,B,,,,
2014-11-27 02:00:00,인천항,11.6,B,281.0,B,,,,
2014-11-27 03:00:00,인천항,40.0,B,77.3,B,,,,
2014-11-27 04:00:00,인천항,56.2,B,77.9,B,,,,
2014-11-27 05:00:00,인천항,53.9,B,73.1,B,,,,
2014-11-27 06:00:00,인천항,33.8,B,66.8,B,,,,
2014-11-27 07:00:00,인천항,16.0,B,66.2,B,,,,
2014-11-27 08:00:00,인천항,7.0,B,273.1,B,,,,
2014-11-27 09:00:00,인천항,34.6,B,234.0,B,,,,
2014-11-27 10:00:00,인천항,56.8,B,250.5,B,,,,
2014-11-27 11:00:00,인천항,49.9,B,244.4,B,,,,
2014-11-27 12:00:00,인천항,41.5,B,235.5,B,,,,
2014-11-27 13:00:00,인천항,46.3,B,263.2,B,,,,
2014-11-27 14:00:00,인천항,10.4,B,238.9,B,,,,
2014-11-27 15:00:00,인천항,42.5,B,73.9,B,,,,
2014-11-27 16:00:00,인천항,33.0,B,24.8,B,,,,
2014-11-27 17:00:00,인천항,46.9,B,50.1,B,,,,
2014-11-27 18:00:00,인천항,32.3,B,61.4,B,,,,
2014-11-27 19:00:00,인천항,18.8,B,54.5,B,,,,
2014-11-27 20:00:00,인천항,11.6,B,253.0,B,,,,
2014-11-27 21:00:00,인천항,26.7,B,220.8,B,,,,
2014-11-27 22:00:00,인천항,44.5,B,218.3,B,,,,
2014-11-27 23:00:00,인천항,40.4,B,254.3,B,,,,
2014-11-28 00:00:00,인천항,45.7,B,247.7,B,,,,
2014-11-28 01:00:00,인천항,45.5,B,234.8,B,,,,
2014-11-28 02:00:00,인천항,28.7,B,252.5,B,,,,
2014-11-28 03:00:00,인천항,2.8,B,115.8,B,,,,
2014-11-28 04:00:00,인천항,49.3,B,64.1,B,,,,
2014-11-28 05:00:00,인천항,56.3,B,54.5,B,,,,
2014-11-28 06:00:00,인천항,48.9,B,55.3,B,,,,
2014-11-28 07:00:00,인천항,30.3,B,62.3,B,,,,
2014-11-28 08:00:00,인천항,9.6,B,76.0,B,,,,
2014-11-28 09:00:00,인천항,16.2,B,227.3,B,,,,
2014-11-28 10:00:00,인천항,37.1,B,241.1,B,,,,
2014-11-28 11:00:00,인천항,52.5,B,248.8,B,,,,
2014-11-28 12:00:00,인천항,46.6,B,228.5,B,,,,
2014-11-28 13:00:00,인천항,39.5,B,239.6,B,,,,
2014-11-28 14:00:00,인천항,25.8,B,252.1,B,,,,
2014-11-28 15:00:00,인천항,1.2,B,226.2,B,,,,
2014-11-28 16:00:00,인천항,44.3,B,63.8,B,,,,
2014-11-28 17:00:00,인천항,55.8,B,58.4,B,,,,
2014-11-28 18:00:00,인천항,34.3,B,66.6,B,,,,
2014-11-28 19:00:00,인천항,37.2,B,67.3,B,,,,
2014-11-28 20:00:00,인천항,12.4,B,86.6,B,,,,
2014-11-28 21:00:00,인천항,13.1,B,152.6,B,,,,
2014-11-28 22:00:00,인천항,24.2,B,223.0,B,,,,
2014-11-28 23:00:00,인천항,43.0,B,243.6,B,,,,
2014-11-29 00:00:00,인천항,57.6,B,257.1,B,,,,
2014-11-29 01:00:00,인천항,53.7,B,256.7,B,,,,
2014-11-29 02:00:00,인천항,45.4,B,265.5,B,,,,
2014-11-29 04:00:00,인천항,5.7,B,122.7,B,,,,
2014-11-29 05:00:00,인천항,44.4,B,70.3,B,,,,
2014-11-29 06:00:00,인천항,50.6,B,60.1,B,,,,
2014-11-29 07:00:00,인천항,45.6,B,58.3,B,,,,
2014-11-29 08:00:00,인천항,26.7,B,58.4,B,,,,
2014-11-29 09:00:00,인천항,14.9,B,98.9,B,,,,
2014-11-29 10:00:00,인천항,14.3,B,152.1,B,,,,
2014-11-29 11:00:00,인천항,28.9,B,214.5,B,,,,
2014-11-29 12:00:00,인천항,49.1,B,230.9,B,,,,
2014-11-29 13:00:00,인천항,33.6,B,276.3,B,,,,
2014-11-29 14:00:00,인천항,39.2,B,257.7,B,,,,
2014-11-29 15:00:00,인천항,25.8,B,235.8,B,,,,
2014-11-29 16:00:00,인천항,9.6,B,69.5,B,,,,
2014-11-29 17:00:00,인천항,42.7,B,71.5,B,,,,
2014-11-29 18:00:00,인천항,50.5,B,58.9,B,,,,
2014-11-29 19:00:00,인천항,47.9,B,61.7,B,,,,
2014-11-29 20:00:00,인천항,30.6,B,49.7,B,,,,
2014-11-29 21:00:00,인천항,13.2,B,78.7,B,,,,
2014-11-29 22:00:00,인천항,8.3,B,251.3,B,,,,
2014-11-29 23:00:00,인천항,28.7,B,242.3,B,,,,
2014-11-30 00:00:00,인천항,41.6,B,248.0,B,,,,
2014-11-30 01:00:00,인천항,50.3,B,249.8,B,,,,
2014-11-30 02:00:00,인천항,52.1,B,260.8,B,,,,
2014-11-30 03:00:00,인천항,39.8,B,259.7,B,,,,
2014-11-30 04:00:00,인천항,10.2,B,243.3,B,,,,
2014-11-30 05:00:00,인천항,12.4,B,95.5,B,,,,
2014-11-30 06:00:00,인천항,37.6,B,73.1,B,,,,
2014-11-30 07:00:00,인천항,39.9,B,66.4,B,,,,
2014-11-30 08:00:00,인천항,32.9,B,66.9,B,,,,
2014-11-30 09:00:00,인천항,22.4,B,65.4,B,,,,
2014-11-30 10:00:00,인천항,11.4,B,56.4,B,,,,
2014-11-30 13:00:00,인천항,39.7,B,250.0,B,,,,
2014-11-30 14:00:00,인천항,48.7,B,260.6,B,,,,
2014-11-30 15:00:00,인천항,39.9,B,254.9,B,,,,
2014-11-30 16:00:00,인천항,29.8,B,264.4,B,,,,
2014-11-30 18:00:00,인천항,25.7,G,62.4,G,,,,
2014-11-30 19:00:00,인천항,38.3,G,58.1,G,,,,
2014-11-30 20:00:00,인천항,42.4,G,56.6,G,,,,
2014-11-30 21:00:00,인천항,35.5,G,62.0,G,,,,
2014-11-30 22:00:00,인천항,18.5,G,70.3,G,,,,
2014-11-30 23:00:00,인천항,5.9,G,157.6,G,,,,
2014-12-01 00:00:00,인천항,19.4,G,225.2,G,,,,
2014-12-01 01:00:00,인천항,24.6,G,239.4,G,,,,
2014-12-01 02:00:00,인천항,42.4,G,254.1,G,,,,
2014-12-01 03:00:00,인천항,36.7,G,259.1,G,,,,
2014-12-01 04:00:00,인천항,29.0,G,278.4,G,,,,
2014-12-01 05:00:00,인천항,20.6,G,265.6,G,,,,
2014-12-01 06:00:00,인천항,6.5,G,195.9,G,,,,
2014-12-01 07:00:00,인천항,26.9,G,73.9,G,,,,
2014-12-01 08:00:00,인천항,38.9,G,65.8,G,,,,
2014-12-01 09:00:00,인천항,35.3,G,69.4,G,,,,
2014-12-01 10:00:00,인천항,34.1,G,76.9,G,,,,
2014-12-01 11:00:00,인천항,19.4,G,99.8,G,,,,
2014-12-01 12:00:00,인천항,6.5,G,78.4,G,,,,
2014-12-01 13:00:00,인천항,16.0,G,202.6,G,,,,
2014-12-01 14:00:00,인천항,36.6,G,238.5,G,,,,
2014-12-01 15:00:00,인천항,32.9,G,239.9,G,,,,
2014-12-01 16:00:00,인천항,26.3,G,276.1,G,,,,
2014-12-01 17:00:00,인천항,26.3,G,263.2,G,,,,
2014-12-01 18:00:00,인천항,12.3,G,260.5,G,,,,
2014-12-01 19:00:00,인천항,10.7,G,115.0,G,,,,
2014-12-01 20:00:00,인천항,43.6,G,78.2,G,,,,
2014-12-01 21:00:00,인천항,39.7,G,79.5,G,,,,
2014-12-01 22:00:00,인천항,37.5,G,82.9,G,,,,
2014-12-01 23:00:00,인천항,30.9,G,84.4,G,,,,
2014-12-02 00:00:00,인천항,18.5,G,112.1,G,,,,
2014-12-02 01:00:00,인천항,15.4,G,174.6,G,,,,
2014-12-02 02:00:00,인천항,26.6,G,230.7,G,,,,
2014-12-02 03:00:00,인천항,32.4,G,242.3,G,,,,
2014-12-02 04:00:00,인천항,37.4,G,249.2,G,,,,
2014-12-02 05:00:00,인천항,38.2,G,270.5,G,,,,
2014-12-02 07:00:00,인천항,4.4,G,217.7,G,,,,
2014-12-02 08:00:00,인천항,16.8,G,86.1,G,,,,
2014-12-02 09:00:00,인천항,40.3,G,60.1,G,,,,
2014-12-02 10:00:00,인천항,41.7,G,75.1,G,,,,
2014-12-02 11:00:00,인천항,41.3,G,78.3,G,,,,
2014-12-02 12:00:00,인천항,27.0,G,82.8,G,,,,
2014-12-02 13:00:00,인천항,16.4,G,126.9,G,,,,
2014-12-02 14:00:00,인천항,10.6,G,184.1,G,,,,
2014-12-02 15:00:00,인천항,33.1,G,239.5,G,,,,
2014-12-02 16:00:00,인천항,42.5,G,249.0,G,,,,
2014-12-02 17:00:00,인천항,45.1,G,259.0,G,,,,
2014-12-02 18:00:00,인천항,43.5,G,264.8,G,,,,
2014-12-02 19:00:00,인천항,28.5,G,267.3,G,,,,
2014-12-02 20:00:00,인천항,4.8,G,255.1,G,,,,
2014-12-02 21:00:00,인천항,24.6,G,58.8,G,,,,
2014-12-02 22:00:00,인천항,43.4,G,48.2,G,,,,
2014-12-02 23:00:00,인천항,45.8,G,62.5,G,,,,
2014-12-03 00:00:00,인천항,33.0,G,68.6,G,,,,
2014-12-03 01:00:00,인천항,18.4,G,76.8,G,,,,
2014-12-03 02:00:00,인천항,11.1,G,185.7,G,,,,
2014-12-03 03:00:00,인천항,31.6,G,232.3,G,,,,
2014-12-03 04:00:00,인천항,40.4,G,241.7,G,,,,
2014-12-03 05:00:00,인천항,41.2,G,237.6,G,,,,
2014-12-03 06:00:00,인천항,37.9,G,241.8,G,,,,
2014-12-03 07:00:00,인천항,35.5,G,252.6,G,,,,
2014-12-03 08:00:00,인천항,8.3,G,258.7,G,,,,
2014-12-03 09:00:00,인천항,22.3,G,76.5,G,,,,
2014-12-03 10:00:00,인천항,49.2,G,71.4,G,,,,
2014-12-03 11:00:00,인천항,53.1,G,69.6,G,,,,
2014-12-03 12:00:00,인천항,40.8,G,69.4,G,,,,
2014-12-03 13:00:00,인천항,28.3,G,69.1,G,,,,
2014-12-03 14:00:00,인천항,6.1,G,80.7,G,,,,
2014-12-03 15:00:00,인천항,21.8,G,239.2,G,,,,
2014-12-03 16:00:00,인천항,35.7,G,246.1,G,,,,
2014-12-03 17:00:00,인천항,54.8,G,254.5,G,,,,
2014-12-03 18:00:00,인천항,52.0,G,255.4,G,,,,
2014-12-03 19:00:00,인천항,52.2,G,254.9,G,,,,
2014-12-03 21:00:00,인천항,3.4,G,237.2,G,,,,
2014-12-03 22:00:00,인천항,30.8,G,73.8,G,,,,
2014-12-03 23:00:00,인천항,49.3,G,56.2,G,,,,
2014-12-04 00:00:00,인천항,46.5,G,66.2,G,,,,
2014-12-04 01:00:00,인천항,28.8,G,68.6,G,,,,
2014-12-04 02:00:00,인천항,13.0,G,104.1,G,,,,
2014-12-04 03:00:00,인천항,11.6,G,178.1,G,,,,
2014-12-04 04:00:00,인천항,28.2,G,240.1,G,,,,
2014-12-04 05:00:00,인천항,52.9,G,253.3,G,,,,
2014-12-04 06:00:00,인천항,48.4,G,237.1,G,,,,
2014-12-04 07:00:00,인천항,50.3,G,251.2,G,,,,
2014-12-04 08:00:00,인천항,38.8,G,260.5,G,,,,
2014-12-04 09:00:00,인천항,18.5,G,257.3,G,,,,
2014-12-04 10:00:00,인천항,27.4,G,78.1,G,,,,
2014-12-04 11:00:00,인천항,48.5,G,59.5,G,,,,
2014-12-04 12:00:00,인천항,54.1,G,66.3,G,,,,
2014-12-04 13:00:00,인천항,50.5,G,53.5,G,,,,
2014-12-04 14:00:00,인천항,31.2,G,47.3,G,,,,
2014-12-04 15:00:00,인천항,11.0,G,132.9,G,,,,
2014-12-04 16:00:00,인천항,21.7,G,208.6,G,,,,
2014-12-04 17:00:00,인천항,40.7,G,240.5,G,,,,
2014-12-04 18:00:00,인천항,54.7,G,251.1,G,,,,
2014-12-04 19:00:00,인천항,36.2,G,243.7,G,,,,
2014-12-04 20:00:00,인천항,38.6,G,251.7,G,,,,
2014-12-04 21:00:00,인천항,34.5,G,262.9,G,,,,
2014-12-04 22:00:00,인천항,10.7,G,255.6,G,,,,
2014-12-04 23:00:00,인천항,33.3,G,75.0,G,,,,
2014-12-05 00:00:00,인천항,46.7,G,61.9,G,,,,
2014-12-05 01:00:00,인천항,52.3,G,69.3,G,,,,
2014-12-05 02:00:00,인천항,33.1,G,75.9,G,,,,
2014-12-05 03:00:00,인천항,11.5,G,91.5,G,,,,
2014-12-05 04:00:00,인천항,12.4,G,215.3,G,,,,
2014-12-05 05:00:00,인천항,38.6,G,247.4,G,,,,
2014-12-05 06:00:00,인천항,39.4,G,238.1,G,,,,
2014-12-05 07:00:00,인천항,37.9,G,232.1,G,,,,
2014-12-05 08:00:00,인천항,48.3,G,236.4,G,,,,
2014-12-05 09:00:00,인천항,41.5,G,256.7,G,,,,
2014-12-05 10:00:00,인천항,15.5,G,251.6,G,,,,
2014-12-05 11:00:00,인천항,39.3,G,77.4,G,,,,
2014-12-05 12:00:00,인천항,43.0,G,41.2,G,,,,
2014-12-05 13:00:00,인천항,40.4,G,31.6,G,,,,
2014-12-05 14:00:00,인천항,37.8,G,64.7,G,,,,
2014-12-05 15:00:00,인천항,14.2,G,76.4,G,,,,
2014-12-05 16:00:00,인천항,15.5,G,175.5,G,,,,
2014-12-05 17:00:00,인천항,27.3,G,213.4,G,,,,
2014-12-05 18:00:00,인천항,46.9,G,240.3,G,,,,
2014-12-05 19:00:00,인천항,47.2,G,243.1,G,,,,
2014-12-05 20:00:00,인천항,34.2,G,228.9,G,,,,
2014-12-05 21:00:00,인천항,30.0,G,231.6,G,,,,
2014-12-05 22:00:00,인천항,34.0,G,272.1,G,,,,
2014-12-05 23:00:00,인천항,3.8,G,146.8,G,,,,
2014-12-06 00:00:00,인천항,47.2,G,67.5,G,,,,
2014-12-06 01:00:00,인천항,50.4,G,66.3,G,,,,
2014-12-06 02:00:00,인천항,46.8,G,59.8,G,,,,
2014-12-06 03:00:00,인천항,25.6,G,68.1,G,,,,
2014-12-06 04:00:00,인천항,6.9,G,152.0,G,,,,
2014-12-06 05:00:00,인천항,17.6,G,221.6,G,,,,
2014-12-06 06:00:00,인천항,47.8,G,245.9,G,,,,
2014-12-06 07:00:00,인천항,38.9,G,230.0,G,,,,
2014-12-06 08:00:00,인천항,51.9,G,238.7,G,,,,
2014-12-06 09:00:00,인천항,49.1,G,233.2,G,,,,
2014-12-06 10:00:00,인천항,45.9,G,265.1,G,,,,
2014-12-06 11:00:00,인천항,0.5,G,297.3,G,,,,
2014-12-06 12:00:00,인천항,43.3,G,66.0,G,,,,
2014-12-06 13:00:00,인천항,49.9,G,39.7,G,,,,
2014-12-06 14:00:00,인천항,52.1,G,54.7,G,,,,
2014-12-06 15:00:00,인천항,20.0,G,61.4,G,,,,
2014-12-06 16:00:00,인천항,11.3,G,146.1,G,,,,
2014-12-06 17:00:00,인천항,16.5,G,192.1,G,,,,
2014-12-06 18:00:00,인천항,33.6,G,233.8,G,,,,
2014-12-06 19:00:00,인천항,56.6,G,246.7,G,,,,
2014-12-06 20:00:00,인천항,46.5,G,231.2,G,,,,
2014-12-06 21:00:00,인천항,41.9,G,239.9,G,,,,
2014-12-06 22:00:00,인천항,45.7,G,253.6,G,,,,
2014-12-06 23:00:00,인천항,31.5,G,264.4,G,,,,
2014-12-07 00:00:00,인천항,19.7,G,77.7,G,,,,
2014-12-07 01:00:00,인천항,53.1,G,55.2,G,,,,
2014-12-07 02:00:00,인천항,55.1,G,56.7,G,,,,
2014-12-07 03:00:00,인천항,46.0,G,65.4,G,,,,
2014-12-07 04:00:00,인천항,15.2,G,36.7,G,,,,
2014-12-07 05:00:00,인천항,2.3,G,40.3,G,,,,
2014-12-07 06:00:00,인천항,33.7,G,251.1,G,,,,
2014-12-07 07:00:00,인천항,60.0,G,248.4,G,,,,
2014-12-07 08:00:00,인천항,51.0,G,233.9,G,,,,
2014-12-07 09:00:00,인천항,49.5,G,244.2,G,,,,
